item,Times_Higher_Education_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q1060,hamburg-university-technology,grid.6884.2
http://www.wikidata.org/entity/Q10159,ecole-normale-superieure-de-lyon,grid.15140.31
http://www.wikidata.org/entity/Q10177,ecole-centrale-de-lyon,grid.15401.31
http://www.wikidata.org/entity/Q13344,university-bordeaux,grid.412041.2
http://www.wikidata.org/entity/Q13371,harvard-university,grid.38142.3c
http://www.wikidata.org/entity/Q21578,princeton-university,grid.16750.35
http://www.wikidata.org/entity/Q28695,university-helsinki,grid.7737.4
http://www.wikidata.org/entity/Q31519,charles-university-prague,grid.4491.8
http://www.wikidata.org/entity/Q41506,stanford-university,grid.168010.e
http://www.wikidata.org/entity/Q43452,autonomous-university-barcelona,grid.7080.f
http://www.wikidata.org/entity/Q49088,columbia-university,grid.21729.3f
http://www.wikidata.org/entity/Q49112,yale-university,grid.47100.32
http://www.wikidata.org/entity/Q49115,cornell-university,grid.5386.8
http://www.wikidata.org/entity/Q49118,boston-college,grid.208226.c
http://www.wikidata.org/entity/Q49119,brandeis-university,grid.253264.4
http://www.wikidata.org/entity/Q84151,taras-shevchenko-national-university-kyiv,grid.34555.32
http://www.wikidata.org/entity/Q122453,university-stuttgart,grid.5719.a
http://www.wikidata.org/entity/Q129421,university-california-davis,grid.27860.3b
http://www.wikidata.org/entity/Q156725,university-hamburg,grid.9026.d
http://www.wikidata.org/entity/Q161982,johannes-gutenberg-university-mainz,grid.5802.f
http://www.wikidata.org/entity/Q168751,duke-university,grid.26009.3d
http://www.wikidata.org/entity/Q168756,university-california-berkeley,grid.47840.3f
http://www.wikidata.org/entity/Q174158,hebrew-university-jerusalem,grid.9619.7
http://www.wikidata.org/entity/Q178848,university-notre-dame-0,grid.131063.6
http://www.wikidata.org/entity/Q185246,uppsala-university,grid.8993.b
http://www.wikidata.org/entity/Q186638,universite-de-versailles-saint-quentin-en-yvelines,grid.12832.3a
http://www.wikidata.org/entity/Q190080,carnegie-mellon-university,grid.147455.6
http://www.wikidata.org/entity/Q193196,ucl,grid.83440.3b
